top - 15:27:06 up 49 min,  1 user,  load average: 0.74, 0.64, 0.37
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 95.2 id,  4.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    225.4 free,   2491.1 used,   1146.9 buff/cache     
MiB Swap:   3771.0 total,   3680.9 free,     90.1 used.   1376.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1829 sysadmin  20   0   10836   6544   4624 S   0.0   0.2   0:00.48 dbus-da+
   1867 sysadmin  20   0  692692   7368   6856 S   0.0   0.2   0:00.03 xdg-doc+
   1874 sysadmin  20   0  317976   5952   5824 S   0.0   0.2   0:00.00 xdg-per+
   1881 root      20   0    2704   1936   1936 S   0.0   0.0   0:00.00 fusermo+
   1904 sysadmin  20   0  244336   5900   5644 S   0.0   0.1   0:00.00 gdm-way+
   1908 sysadmin  20   0  306904  14592  12672 S   0.0   0.4   0:00.02 gnome-s+
   1950 sysadmin  20   0  162652   6424   6040 S   0.0   0.2   0:00.00 gcr-ssh+
   1953 sysadmin  20   0  100216   5420   5164 S   0.0   0.1   0:00.00 gnome-s+
   1975 sysadmin  20   0  322952   7524   7012 S   0.0   0.2   0:00.03 gvfsd
   1986 sysadmin  20   0  543140   7040   6400 S   0.0   0.2   0:00.00 gvfsd-f+
   2010 sysadmin  20   0  602888  15884  13324 S   0.0   0.4   0:00.07 gnome-s+
   2054 sysadmin  20   0 3918928 211192  63872 S   0.0   5.3   1:36.88 gnome-s+
   2055 sysadmin  20   0  382932   7716   7076 S   0.0   0.2   0:00.00 at-spi-+
   2068 sysadmin  20   0    9480   4840   4584 S   0.0   0.1   0:00.00 dbus-da+
   2192 sysadmin  20   0  236068   7128   6744 S   0.0   0.2   0:00.00 at-spi2+
   2222 sysadmin  20   0  655924  21672  18040 S   0.0   0.5   0:00.05 gnome-s+
   2231 sysadmin  20   0  601452  38544  30224 S   0.0   1.0   0:00.14 evoluti+
   2238 sysadmin  20   0  230108   5620   5236 S   0.0   0.1   0:00.02 dconf-s+
   2240 sysadmin  20   0 2605688  19216  14380 S   0.0   0.5   0:00.05 gjs
   2246 sysadmin  20   0  471252  11812   7084 S   0.0   0.3   0:03.85 ibus-da+
